,Value,Lower_BB,Upper_BB,Entry
2021-11-11,11.9,,,0
2021-11-12,33.93,10.300766379297624,57.437233620702315,0
2021-11-15,33.13,3.735050502688356,66.80094949731159,0
2021-11-16,35.91,5.032184018206728,62.80481598179322,0
2021-11-17,41.27,8.225870250516014,56.833129749483945,0
2021-11-18,46.83,,,0
2021-11-19,53.97,,,0
2021-11-22,51.79,,,0
2021-11-23,44.25,,,0
2021-11-24,47.02,,,0
2021-11-26,79.17,,,0
2021-11-29,65.08,,,0
2021-11-30,87.9,,,0
2021-12-01,90.67,,,0
2021-12-02,77.98,,,0
2021-12-03,76.19,,,0
2021-12-06,63.49,,,0
2021-12-07,41.47,,,0
2021-12-08,37.1,,,0
2021-12-09,45.44,,,0
2021-12-10,37.5,,,0
2021-12-13,46.83,,,0
2021-12-14,53.97,,,0
2021-12-15,40.87,16.56979694592887,93.37220305407112,0
2021-12-16,40.48,8.621338100684302,57.58866189931565,0
2021-12-17,54.37,24.145062690692107,90.04393730930786,0
2021-12-20,66.67,25.238437484837753,90.93456251516224,0
2021-12-21,44.44,24.264186469662953,90.95581353033702,0
2021-12-22,34.33,21.944587551306462,91.52941244869353,0
2021-12-23,24.4,11.843188589830735,56.54981141016923,0
2021-12-27,10.12,8.20968345728323,57.425316542716715,0
2021-12-28,8.93,5.045949226709567,56.89905077329037,0
2021-12-29,10.71,2.8472940324693035,55.52570596753064,0
2021-12-30,11.31,1.1013158222526123,53.91868417774732,0
2021-12-31,11.71,0.9052358573941497,50.007764142605794,0
2022-01-03,20.63,0.8701976530857678,50.00280234691418,0
2022-01-04,21.03,4.098211996249745,71.57678800375021,0
2022-01-05,36.51,4.152133745899484,69.59886625410047,0
2022-01-06,35.52,3.9115002795092124,69.20449972049074,0
2022-01-07,41.87,37.76174143656954,84.69825856343037,0
2022-01-10,48.21,37.55775972552906,81.46924027447085,0
2022-01-11,42.46,3.939768195724284,68.60123180427567,0
2022-01-12,43.25,3.948657865677994,68.29434213432197,0
2022-01-13,46.23,37.309031694972106,78.3249683050278,0
2022-01-14,50.2,36.805521351830635,78.31247864816929,0
2022-01-18,62.9,36.80687500942008,78.27212499057985,0
2022-01-19,69.05,37.199813571457575,77.42318642854235,0
2022-01-20,77.18,22.998950674058264,93.76804932594173,0
2022-01-21,85.12,23.48235253792511,97.09464746207489,0
2022-01-24,86.71,22.95023917629628,98.38076082370372,0
2022-01-25,87.7,22.30473464315636,101.28826535684365,0
2022-01-26,89.29,22.186280041310788,101.5457199586892,0
2022-01-27,88.29,22.400653231843677,101.09334676815631,0
2022-01-28,79.37,22.350975158690666,101.28202484130932,0
2022-01-31,72.02,22.405238056483775,100.81076194351621,0
2022-02-01,63.69,22.413220903568316,100.82277909643167,0
2022-02-02,48.81,23.409145634866228,100.56085436513376,0
2022-02-03,59.92,26.24932422790792,100.00267577209209,0
2022-02-04,57.74,27.663040024413704,99.8189599755863,0
2022-02-07,54.17,30.231478889445278,98.91752111055473,0
2022-02-08,45.44,30.013317814290318,98.9966821857097,0
2022-02-09,28.57,25.56150613494936,100.90849386505064,0
2022-02-10,47.22,26.53701249814472,100.5679875018553,0
2022-02-11,57.34,26.810439201877124,100.59156079812291,0
2022-02-14,60.12,26.477888187753237,100.26911181224678,0
2022-02-15,46.83,26.828697961095607,100.15730203890439,0
2022-02-16,45.63,28.89103561579416,99.22496438420586,0
2022-02-17,60.91,28.580212051161354,97.90878794883866,0
2022-02-18,65.08,29.037633564490775,95.44736643550922,0
2022-02-22,72.62,29.877541001431887,93.1984589985681,0
2022-02-23,82.54,30.40209268748912,92.15790731251086,0
2022-02-24,80.16,31.3787984222966,90.2682015777034,0
2022-02-25,55.36,32.508013442576974,85.845986557423,0
2022-02-28,63.29,33.263617610143925,83.48238238985604,0
2022-03-01,73.61,33.16137675487667,83.74362324512329,0
2022-03-02,56.75,32.92112589620266,83.2898741037973,0
2022-03-03,53.17,33.39052643084834,83.25647356915162,0
2022-03-04,55.75,33.16917670230115,83.06082329769882,0
2022-03-07,66.27,33.345485017467276,83.73751498253267,0
2022-03-08,74.8,33.503305640456475,85.64269435954347,0
2022-03-09,62.1,35.14373137661585,85.66826862338408,0
2022-03-10,64.09,41.5525621986439,82.81143780135602,0
2022-03-11,68.45,43.64370788375503,82.8432921162449,0
2022-03-14,69.05,44.27002671406257,83.38797328593736,0
2022-03-15,59.33,44.19756137718849,83.38143862281144,0
2022-03-16,33.33,40.53015013111917,85.69884986888076,-1
2022-03-17,21.83,11.636803875439078,56.81619612456088,0
2022-03-18,16.87,12.52928215380906,56.32071784619089,0
2022-03-21,18.25,14.394319709861922,55.228680290138044,0
2022-03-22,11.51,11.87055562775543,56.542444372244525,-1
2022-03-23,28.97,32.31428712820443,79.53071287179552,-1
2022-03-24,18.65,25.530073452555833,82.86292654744412,-1
2022-03-25,14.68,18.725569757684674,85.56043024231528,-1
2022-03-28,12.9,12.646124268778713,86.30287573122123,0
2022-03-29,6.15,-1.4930602030218125,48.139060203021764,0
2022-03-30,10.52,7.657073999190082,84.86392600080987,0
2022-03-31,23.61,5.248396133812413,83.42360386618756,0
2022-04-01,24.6,3.4757183954082436,81.2472816045917,0
2022-04-04,23.61,0.7502468920606482,48.8327531079393,0
2022-04-05,37.7,3.798706807372838,77.84929319262713,0
2022-04-06,45.83,4.86140170336995,74.46459829663002,0
2022-04-07,46.43,5.235054243301946,72.80094575669801,0
2022-04-08,44.84,5.825599695124588,73.36140030487536,0
2022-04-11,52.78,6.0569366445905075,72.61406335540946,0
2022-04-12,57.94,42.452052730584676,85.00794726941524,0
2022-04-13,50.99,41.264975988906045,85.20302401109387,0
2022-04-14,55.75,40.57993512685492,84.955064873145,0
